,course_name,course_code,prerequisites_text,antirequisites_text,corequisites_text,precorequisites_text,prerequisites_link,antirequisites_link,corequisites_link,precorequisites_link,description,location,extra_info,weight,category
0,INTRODUCTION TO FINANCIAL SECURITY SYSTEMS,ACTURSCI 1021A/B,[],[],[],[],[],[],[],[],"The nature and cause of financial security and insecurity; public, private and employer programs and products to reduce financial insecurity, including social security, individual insurance and annuities along with employee pensions and benefits.",Western Main Campus,3 lecture hours.,0.5,ACTURSCI
1,MATHEMATICS FOR FINANCIAL ANALYSIS,ACTURSCI 2053,"[{'text': '1.0 course or two 0.5 courses at the 1000 level or higher from Applied Mathematics, Calculus, or Mathematics.', 'isLink': False}]","[{'text': 'ACTURSCI 2553A/B', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],[],['ACTURSCI 2553A/B'],[],[],"Simple and compound interest, annuities, amortization, sinking funds, bonds, bond duration, depreciation, capital budgeting, probability, mortality tables, life annuities, life insurance, net premiums and expenses. Cannot be taken for credit in any module in Statistics or Actuarial Science, Financial Modelling or Statistics, other than the minor in Applied Financial Modeling.",Western Main Campus,3 lecture hours.,1.0,ACTURSCI
2,LONG TERM ACTUARIAL MATHEMATICS I,ACTURSCI 2427A/B,"[{'text': 'A minimum mark of 60% in each of', 'isLink': False}, {'text': 'ACTURSCI 2553A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'either', 'isLink': False}, {'text': 'CALCULUS 2402A/B', 'isLink': True}, {'text': 'or', 'isLink': False}, {'text': 'CALCULUS 2502A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'and', 'isLink': False}, {'text': 'STATS 2857A/B', 'isLink': True}, {'text': '. Restricted to students enrolled in any Actuarial Science module.', 'isLink': False}]",[],[],[],"['STATS 2857A/B', 'CALCULUS 2502A/B', 'ACTURSCI 2553A/B', 'CALCULUS 2402A/B']",[],[],[],"Models for the time until death, single life annuity and life insurance present values and their probability distributions; introduction to equivalence principle and premium calculations.",Western Main Campus,"3 lecture hours, 1 tutorial hour.",0.5,ACTURSCI
3,MATHEMATICS OF FINANCE,ACTURSCI 2553A/B,"[{'text': 'A minimum mark of 60% in one of', 'isLink': False}, {'text': 'CALCULUS 1501A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'NMM 1414A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'the former Applied Mathematics 1414A/B, the former Applied Mathematics 1413, or a minimum mark of 85% in', 'isLink': False}, {'text': 'CALCULUS 1301A/B', 'isLink': True}, {'text': '.', 'isLink': False}, {'text': 'INTEGSCI 1001X', 'isLink': True}, {'text': 'with a minimum mark of 60% can be used in place of', 'isLink': False}, {'text': 'CALCULUS 1301A/B', 'isLink': True}, {'text': '.', 'isLink': False}]","[{'text': 'ACTURSCI 2053', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],"['INTEGSCI 1001X', 'CALCULUS 1501A/B', 'NMM 1414A/B', 'CALCULUS 1301A/B']",['ACTURSCI 2053'],[],[],"Time value of money, accumulation and discount functions, effective rates of interest and discount and present values, as applied to annuities and other financial products, and/or applications including loan repayment schedules and methods.",Western Main Campus,"3 lecture hours, 1 tutorial hour.",0.5,ACTURSCI
4,SHORT TERM ACTUARIAL MATHEMATICS I (LOSS MODELS),ACTURSCI 3424A/B,"[{'text': 'A minimum mark of 60% in', 'isLink': False}, {'text': 'STATS 3657A/B', 'isLink': True}, {'text': '. Restricted to students enroled in any Actuarial Science module, or those registered in the Honours Specialization module in Statistics or the Honours Specialization in Financial Modelling module.', 'isLink': False}]",[],[],[],['STATS 3657A/B'],[],[],[],Insurance loss frequency and severity models; aggregate loss models; risk measures; ruin theory; coverage modifications.,Western Main Campus,3 lecture hours.,0.5,ACTURSCI
5,LONG TERM ACTUARIAL MATHEMATICS II,ACTURSCI 3429A/B,"[{'text': 'A minimum mark of 60% in each of', 'isLink': False}, {'text': 'ACTURSCI 2427A/B', 'isLink': True}, {'text': 'and', 'isLink': False}, {'text': 'STATS 2858A/B', 'isLink': True}, {'text': '.', 'isLink': False}]",[],"[{'text': 'Corequisite(s):', 'isLink': False}, {'text': 'STATS 3657A/B', 'isLink': True}, {'text': '.', 'isLink': False}]",[],"['STATS 2858A/B', 'ACTURSCI 2427A/B']",[],['STATS 3657A/B'],[],"Single life annuity and life insurance loss random variables and their distributions, with applications to the analysis of benefit premiums and reserves; survival model estimates; mortality Improvement and longevity models.",Western Main Campus,3 lecture hours.,0.5,ACTURSCI
6,LONG TERM ACTUARIAL MATHEMATICS III,ACTURSCI 3431A/B,"[{'text': 'A minimum mark of 60% in each of', 'isLink': False}, {'text': 'ACTURSCI 3429A/B', 'isLink': True}, {'text': 'and in', 'isLink': False}, {'text': 'STATS 3657A/B', 'isLink': True}, {'text': '. Restricted to students enrolled in any Actuarial Science module.', 'isLink': False}]",[],[],[],"['ACTURSCI 3429A/B', 'STATS 3657A/B']",[],[],[],"Analysis of probability distributions and present values associated with multiple life models, multiple decrement models and more general multi-state models and applications to life Insurance and other long term coverages including disability Income and other health care coverages.",Western Main Campus,3 lecture hours.,0.5,ACTURSCI
7,ACTUARIAL PRACTICE I,ACTURSCI 4426F/G,"[{'text': 'A minimum mark of 60% in', 'isLink': False}, {'text': 'ACTURSCI 2427A/B', 'isLink': True}, {'text': '. Restricted to students who have completed all courses specifically mentioned in the Major in Actuarial Science module.', 'isLink': False}]",[],[],[],['ACTURSCI 2427A/B'],[],[],[],"Introduction to the major areas and issues of actuarial practice, including insurance and annuity product design, pricing and valuation, analysis of the cost of pensions and other employee benefits, asset liability management and professionalism.",Western Main Campus,3 lecture hours.,0.5,ACTURSCI
8,SURVIVAL ANALYSIS,ACTURSCI 4823A/B,"[{'text': 'A minimum mark of 60% in', 'isLink': False}, {'text': 'STATS 3858A/B', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],[],['STATS 3858A/B'],[],[],[],"Survival models, nonparametric estimation of the survival function, one and two or more sample hypothesis tests, inference for semiparametric regression models, inference for parametric regression models.",Western Main Campus,3 lecture hours.,0.5,ACTURSCI
9,SHORT TERM ACTUARIAL MATHEMATICS II,ACTURSCI 4824A/B,"[{'text': 'A minimum mark of 60% in', 'isLink': False}, {'text': 'STATS 3858A/B', 'isLink': True}, {'text': '.  Restricted to students enroled in any Actuarial Science module, or those registered in the Honours Specialization module in Statistics or the Honours Specialization in Financial Modelling module.', 'isLink': False}]",[],[],[],['STATS 3858A/B'],[],[],[],"Selection, calibration, and validation of parametric models for insurance losses; credibility theory; short term reserving and pricing; reinsurance coverages.",Western Main Campus,3 lecture hours.,0.5,ACTURSCI
10,SELECTED TOPICS IN ACTUARIAL SCIENCE,ACTURSCI 4950A/B,"[{'text': 'A minimum mark of 60% in', 'isLink': False}, {'text': 'ACTURSCI 2427A/B', 'isLink': True}, {'text': 'and permission of the department.', 'isLink': False}]",[],[],[],['ACTURSCI 2427A/B'],[],[],[],A course description will be available from the department at the time of registration.,Western Main Campus,3 lecture hours.,0.5,ACTURSCI
11,SELECTED TOPICS IN ACTUARIAL SCIENCE,ACTURSCI 4960F/G,"[{'text': 'A minimum mark of 60% in', 'isLink': False}, {'text': 'ACTURSCI 2427A/B', 'isLink': True}, {'text': 'and permission of the department.', 'isLink': False}]",[],[],[],['ACTURSCI 2427A/B'],[],[],[],A course description will be available from the department at the time of registration.,Western Main Campus,3 lecture hours.,0.5,ACTURSCI
12,PROJECT IN ACTUARIAL SCIENCE,ACTURSCI 4997F/G/Z,"[{'text': 'Registration in the fourth year of the Honours Specialization in Actuarial Science, Statistics, or Financial Modelling. Students must have a modular course average of at least 80% and must find a faculty member to supervise the project.', 'isLink': False}]","[{'text': 'FINMOD 4998F/G/Z', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'STATS 4999F/G/Z', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],[],"['FINMOD 4998F/G/Z', 'STATS 4999F/G/Z']",[],[],"The student will work on a project under faculty supervision. The project may involve an extension, or more detailed coverage, of material presented in other courses. Credit for the course will involve a written report as well as an oral presentation.",Western Main Campus,,0.5,ACTURSCI
13,AMERICAN SIGN LANGUAGE FOR BEGINNERS,ASL 1030A/B,[],"[{'text': 'English 2095A taken in Fall 2019.', 'isLink': False}]",[],[],[],[],[],[],"This course introduces foundations of American Sign Language including linguistic perspectives, dialogue skill set, vocabulary, and syntax. Instruction may also include sociocultural contexts regarding the Deaf community, culture, and history. Note: Students with any ASL language background must see Instructor to determine eligibility for course.",King's,3 hours.,0.5,ASL
14,AN INTRODUCTION TO AMERICAN STUDIES,AMERICAN 1020,[],[],[],[],[],[],[],[],"This course introduces students to the interdisciplinary study of the history, culture, and politics of the United States. It stresses how the national idea of America has evolved, and how artists, labourers, immigrants, Indigenous peoples, and others, have grappled with the conflicting definition of what it means to be ""American.""",Western Main Campus,"2 lecture hours, 1 tutorial hour.",1.0,AMERICAN
15,SELECTED TOPICS IN AMERICAN STUDIES,AMERICAN 2230F/G,"[{'text': 'At least 60% in ONE of:', 'isLink': False}, {'text': 'AMERICAN 1020', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'the former History 1701E,', 'isLink': False}, {'text': ',', 'isLink': False}, {'text': 'POLISCI 1020E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ENGLISH 1020E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ENGLISH 1022E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ENGLISH 1024E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'or permission of Director of the Centre for American Studies.', 'isLink': False}]",[],[],[],"['ENGLISH 1024E', 'ENGLISH 1022E', 'AMERICAN 1020', 'POLISCI 1020E', 'ENGLISH 1020E']",[],[],[],Consult the Centre for American Studies office for details of current course offerings.,Western Main Campus,3 lecture hours.,0.5,AMERICAN
