WRITING 4999E|CREATIVE WRITING THESIS|English 4999E if taken prior to the 2014-15 academic year.|Permission of the department.|Individual instruction in selection of a topic, preparation of materials, and writing of a creative writing thesis. To take this course, students must apply to the Director of Undergraduate Studies, Writing Studies. Restricted to students in fourth year of an English Honours Specialization module.|Western Main Campus|3 hours
WRITING 4998F/G|RE-VISIONING SELF: CREATING YOUR PROFESSIONAL PORTFOLIO|The former Writing 2299F/G.|Two or more Writing courses numbered 2200 and above, or permission of the Department (consult the Undergraduate Program Director, Writing).|In this half-course students will write new documents and revise documents written in previous Writing classes to include in a portfolio of their work. The portfolio will be both online and printed. Class time will be devoted to a combination of lecture and writing workshop.|Western Main Campus|3 lecture hours
WRITING 4881F/G|SEMINAR IN PROFESSIONAL COMMUNICATION||Permission of the Department (Writing Studies).|Topics will vary from year to year. Please consult Writing Studies for current offerings.|Western Main Campus|3 lecture hours.
WRITING 4880F/G|SEMINAR IN CREATIVE WRITING||Permission of the Department (Writing Studies).|Topics will vary from year to year. Please consult Writing Studies for current offerings.|Western Main Campus|3 lecture hours.
WRITING 4700F/G|INDEPENDENT STUDY IN WRITING||Completion of Writing 1020F/G or Writing 1022F/G with a minimum grade of 65%, or Writing 2101F/G with a minimum grade of 60%, and registration in Year 3 or 4 of a King’s degree program.|This is an Independent Study Writing course.|King's|3 lecture hours.
WRITING 3903F/G|SPEC TOPICS IN WRITING STUDIES||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|3 lecture hours
WRITING 3902F/G|SPEC TOPICS IN WRITING STUDIES||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|3 lecture hours
WRITING 3901F/G|SPEC TOPICS IN WRITING STUDIES||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|3 lecture hours
WRITING 3900F/G|SPEC TOPICS IN WRITING STUDIES||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|3 lecture hours
WRITING 3701F/G|SPECIAL TOPICS IN WRITING||Completion of Writing 1020F/G or Writing 1022F/G with a minimum grade of 65%, or Writing 2101F/G with a minimum grade of 60%.|This is a special topic in Writing course.|King's|3 lecture hours.
WRITING 3700F/G|SPECIAL TOPICS IN WRITING||Completion of Writing 1020F/G or Writing 1022F/G with a minimum grade of 65%, or Writing 2101F/G with a minimum grade of 60%.|This is a special topic in Writing course.|King's|3 lecture hours.
WRITING 3402F/G|HITTING THE RIGHT NOTES: SONG LYRIC WRITING|Writing 2294G F/W15; Writing 3902G F/W17; Writing 3901G F/W19.|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Do you want to write lyrics in your favourite musical genre—blues, rock, folk, pop, hip hop, and others? Learn essential lyric writing tools including imagery, repetition, metre, persona, and storytelling structure while studying master songwriters and workshopping your own lyrics. No previous music theory experience required.|Western Main Campus|3 lecture hours.
WRITING 3401F/G|YOU'RE A STRANGE ANIMAL: WRITING NATURE, WRITING THE SELF|Writing 3901F/G if taken F/W17, F/W18, or F/W19.|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|What is nature, how do we write about it and, how is writing about the natural world and the animals in it inextricable from writing about the self? Students should expect to spend a portion of each class outdoors, investigating the flora, fauna, and geological features on campus.|Western Main Campus|3 lecture hours.
WRITING 3400F/G|WRITING DIFFERENCE||At least 65% in one of Writing 1020F/G, Writing 1022F/G, Writing1025F/G, Writing 2101F/G, Writing 2111F/G, Writing 2131F/G, or permission of the instructor.|This course will examine issues of authority, intersectionality, unconscious bias, and the rhetoric of difference. Students will develop practical and academic literacies for writing across and through public arenas of meaning that are often constructed through differences in social and political power.|Huron|3 hours.  Restricted to students registered at Huron University College.
WRITING 3300F/G|INTERNSHIP IN WRITING||Permission of the Department (consult the Undergraduate Program Director, Writing).|Students registered in a Certificate or Minor degree module in Writing and who have a cumulative average of 80% in Writing courses may elect to do an internship with an approved institution as a course at the 3300 level. Course requirements will be set individually prior to registration.|Western Main Campus|
WRITING 3229F/G|SELF & THE RHETORICAL TRIANGLE: AN INTRO TO INTERPERSONAL COMMUNICATION|Writing 2291F/G (2008-2009).|Speech 2001 and at least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G, or Writing 2131F/G; or at least 70% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Humans spend three-quarters of their lives communicating. Effective communication, a skill which can be acquired, is developed through small group exercises, projects, and presentations. Oral and written communicating by way of the Rhetorical Triangle is not only about exercising critical judgment but also about developing respectful listening skills.|Western Main Campus|3 lecture hours.
WRITING 3228F/G|CONCEPT TO PRODUCT: PUBLISHING|Writing 2294F/G (2009-2010; 2008-2009).|Writing 2203F/G or permission of the Department (consult the Undergraduate Program Director, Writing).|This is a workshop course in which students work in teams to develop a consumer magazine. It is of particular interest to students considering a career in print/digital publishing as the roles of managing editor, copy editor, creative/art director, photo design editor, and freelance writer are part of the classroom experience.|Western Main Campus|3 lecture hours.
WRITING 3227F/G|RHETORIC: LAW TALK||Writing 2215F/G or permission of the Department (consult the UndergraduateProgram Director, Writing).|This course examines the forms and function of rhetoric in legal discourse and debate. Principles drawn from rhetorical theory, ancient and modern, will be tested through their application to legal texts drawn from various sources, including trial transcripts, and academic and public commentary on legal issues.|Western Main Campus|3 lecture hours.
WRITING 3226F/G|FIGURES OF SPEECH: WRITING FOR ORAL PRESENTATION|The former Writing 2212F/G.|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|The ability to influence people through oral discourse offers a powerful, desirable skill in any profession. Effective oral communication depends substantially on improving specific writing techniques rather than focusing solely on skills in delivery. By refining writing techniques, participants in this course will gain confidence in constructing oral presentations.|Western Main Campus|3 hours.
WRITING 3225F/G|MY NAME IS URL: WRITING FOR THE WEB||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|This course will explore the theory and practice of digital writing technologies. Topics covered include: the production, management, and reception of digital texts; web writing style; hypertext and linking; authorship; copyright. Students will evaluate the design and content of web texts and create their own web sites.|Western Main Campus|3 hours.
WRITING 3224F/G|MINDING YOUR PS & QS: TECHNICAL EDITING||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|This course introduces students to the basic principles of editing with a specific emphasis on technical documents. Topics include editing for: organization and structure; audience; usability; style; and grammar, mechanics, punctuation, and spelling.|Western Main Campus|3 hours.
WRITING 3223F/G|HOT TYPE: TECHNICAL WRITING||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Students will examine how the technical writer interprets and appropriately presents specialized information. Assignments will increase in complexity from letters and memos to document design, technical definition and description, instructions, proposals, the research report. Students will combine analysis, organization, and visual design to craft oral and written communications.|Western Main Campus|3 hours.
WRITING 3222F/G|PATHOLOGY TO PATHOGRAPHY: ADV HEALTHCARE COMMUNICATION||At least 65% in one of Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 70% in one of Writing 1030F/G or Writing 1031F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|This course prepares students for careers traversing a variety of healthcare delivery models by engaging writing and rhetorical strategies for clinical, forensic, and corporate environments. Topics include everything from narrative medicine and medical blogging to executive hospital communication, as well as the influence of the popular media on patient expectations.|Western Main Campus|3 lecture hours
